Movie,Genre,Director,Actors
A Wednesday (2008 - Hindi),Drama,Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Shergill and others"
Aa Ab Laut Chalen (1999 - Hindi),"Drama, Family",Rishi Kapoor,"Akshaye Khanna, Aishwarya Rai-Bachchan, Suman Ranganathan and others"
Aa Dekhen Zara (2009 - Hindi),Thriller,Jehangir Surti,"Neil Nitin Mukesh, Bipasha Basu, Rahul Dev and others"
Aagey Se Right (2009 - Hindi),Comedy,Indrajit Nattooji,"Shreyas Talpade, Mahi Gill, Kay Kay Menon and others"
Aaina (1993 - Hindi),"Drama, Family",Deepak Sareen,"Jackie Shroff, Juhi Chawla, Amrita Singh and others"
Aakhari Decision (2010 - Hindi),"Action, Drama",Deepak Bandhu,"Anant Jog, Nagesh Bhosle, Mushtaq Khan and others"
Aakrosh (2010 - Hindi),Drama,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu and others"
Aamir (2008 - Hindi),Thriller,Rajkumar Gupta,"Rajeev Khandelwal, Gajraj Rao, Jhilmil Hazrika and others"
Aamras (2009 - Hindi),"Comedy, Drama",Rupali Guha,"Vega Tamotia, Ntasha Bhardwaj, Maanvi Gargoo and others"
Aankhen (1993 - Hindi),Comedy,David Dhawan,"Govinda, Chunkey Pandey, Shilpa Shirodkar and others"
Aankhen (2002 - Hindi),Action,Vipul Shah,"Akshay Kumar, Amitabh Bachchan, Sushmita Sen and others"
Aankhen 2 (2013 - Hindi),Thriller,Sharang Dev,"Amitabh Bachchan, Paresh Rawal and others"
Aap Ka Saaya (2013 - Hindi),Romance,Udhas Singh,"Ranbir Kapoor, Jiah Khan, Asin Thottumkal and others"
"Aap Kaa Suroor The Moviee, The Real Luv Story (2007 - Hindi)",Romance,Prashant Chadha,"Himesh Reshammiya, Hansika Motwani, Mallika Sherawat and others"
Aap Ke Liye Hum (2013 - Hindi),Drama,Revathy S. Verma,"Jaya Bachchan, Raveena Tandon, Ranvir Shorey and others"
Aashayein (2010 - Hindi),Drama,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Anaitha Nair and others"
Aashiqui (1990 - Hindi),Romance,Mahesh Bhatt,"Rahul Roy, Anu Agarwal, Reema Lagoo and others"
Aasma (2009 - Hindi),Drama,Rohit Nayyar,"Joy Sengupta, Shubh, Hrishita Bhatt and others"
Aasman (2013 - Hindi),Action,Anthony D'Souza,"Akshay Kumar, Katrina Kaif, Sanjay Dutt and others"
Ab Tak Chhappan (2004 - Hindi),Action,Shimit Amin,"Nana Patekar, Yashpal Sharma, Nakul Vaid and others"
Accident On Hill Road (2009 - Hindi),Thriller,Mahesh Nair,"Farooq Shaikh, Celina Jaitley, Abhimanyu Singh and others"
Acid Factory (2009 - Hindi),Thriller,Suparn Verma,"Fardeen Khan, Dia Mirza, Irrfan Khan and others"
Action Replayy (2010 - Hindi),"Comedy, Drama",Vipul Shah,"Akshay Kumar, Aishwarya Rai-Bachchan, Neha Dhupia and others"
